object,ra,dec,sma1_25p5,pa1_25p5,ellip1_25p5,sma1_26p5,pa1_26p5,ellip1_26p5,sma2_25p5,pa2_25p5,ellip2_25p5,sma2_26p5,pa2_26p5,ellip2_26p5,mag1,emag1,mag2,emag2,sky1,ssky1,esky1,sky2,ssky2,esky2,c31_1,c42_1,c31_2,c42_2,mabs1,mabs2,mstar,dmean,dstd,dmin,dmax,dmed,type,bar,ring,multiple,compactness,t,e_t,lc,e_lc,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,bt,e_bt,it,e_it,ubt,bvt,ube,bve,vmaxg,e_vmaxg,vdis,e_vdis,mg2,e_mg2,m21,e_m21,mfir,vrad,e_vrad,vopt,e_vopt,v,e_v,ag,ai,incl,a21,lambda,logdc,btc,ubtc,bvtc,bri25,vrot,e_vrot,m21c,hic,vlg,vgsr,vvir,v3k,modz,mod0,mabs,summary,x,y,z,spt_ind,cntr
PGC066242,317.521256,-3.701667,60.3,43.4,0.489,68.3,43.2,0.465,54.9,41.8,0.507,62.0,42.3,0.507,14.109,0.006,14.626,0.003,0.067776,0.012078,0.001626,0.212895,0.01266,0.0015,3.261,3.122,3.175,3.065,-18.92,-18.403,9.761,40.35,6.583,29.3,47.2,39.95,SBbc,B,,,,4.1,0.5,3.0,0.5,1.259,0.031,0.345,0.026,,,,14.43,0.354,13.221,0.111,,,,0.89,95.7,1.85,,,,,16.04,0.092,,2230.9,4.2,2229.9,33.4,2230.9,2.9,0.299,0.548,66.34,0.04,0.676,1.273,13.568,,,23.847,104.48,2.05,15.998,2.43,2386.9,2375.1,2255.8,1929.7,32.585,,-19.017,"<a href=""/data/SPITZER/S4G/galaxies/PGC066242.html"">Data Access</a>",0.7359892466021177,-0.673907754797945,-0.0645613422199382,133100210,1836
PGC066559,319.928542,-7.55205,46.2,51.6,0.232,52.2,61.1,0.143,43.3,47.9,0.27,47.4,54.6,0.189,14.493,0.007,14.951,0.002,0.065149,0.012418,0.00219,0.144139,0.012211,0.002002,2.919,2.88,2.83,2.826,-18.437,-17.979,9.524,,,,,,Sd,B,,,,8.0,0.5,5.0,0.5,1.067,0.094,0.141,0.068,159.84,,,15.891,0.5,14.003,0.663,,,,,65.56,3.62,,,,,15.147,0.234,,2734.3,7.9,,,2734.3,7.9,0.868,0.259,49.48,0.02,1.296,1.143,14.757,,,24.678,86.24,5.02,15.126,0.369,2876.2,2865.4,2736.8,2430.0,33.005,,-18.247,"<a href=""/data/SPITZER/S4G/galaxies/PGC066559.html"">Data Access</a>",0.7586043722853086,-0.6381586008959098,-0.1314268102488517,133102102,1837
PGC066738,321.499396,-3.809776,53.3,31.8,0.788,57.2,25.3,0.636,48.0,31.4,0.785,60.9,32.7,0.752,15.012,0.005,15.382,0.019,0.055545,0.011756,0.001986,0.144189,0.012042,0.001459,3.024,2.949,3.066,2.985,-18.081,-17.711,9.317,,,,,,Scd,,,,,7.4,1.4,,,1.15,0.035,0.74,0.028,32.4,,,15.21,0.5,14.19,0.077,,,,,,,,,,,,,,2931.0,5.5,,,2931.0,5.5,0.27,1.318,90.0,0.83,,1.145,13.612,,,23.233,,,,,3091.9,3073.8,2950.0,2617.6,33.159,,-19.547,"<a href=""/data/SPITZER/S4G/galaxies/PGC066738.html"">Data Access</a>",0.7808721590417395,-0.6211472019334466,-0.066444147701227,132103331,1838
PGC067871,330.497276,-12.190439,58.6,-47.4,0.312,64.8,-71.0,0.128,57.6,-50.2,0.326,72.9,-54.5,0.29,14.57,0.012,14.811,0.001,0.044742,0.012348,0.00222,0.095716,0.011948,0.003245,3.338,3.271,3.236,3.256,-18.211,-17.97,9.273,36.0,,36.0,36.0,36.0,Scd,B,,,,7.0,0.5,6.0,0.5,1.193,0.038,0.31,0.028,157.18,,,15.24,0.5,13.275,0.09,,,,,66.12,1.9,,,,,14.761,0.133,,2725.9,5.8,,,2725.9,5.8,0.223,0.558,62.0,0.04,1.298,1.202,14.449,,,24.325,74.89,2.18,14.725,0.276,2856.9,2835.6,2690.9,2402.5,32.973,,-18.524,"<a href=""/data/SPITZER/S4G/galaxies/PGC067871.html"">Data Access</a>",0.8507072869971052,-0.4813604179960414,-0.2111616912148159,132111102,1839
PGC068030,331.596606,-15.416339,36.4,-58.5,0.729,38.9,-60.1,0.717,36.1,-59.5,0.755,40.3,-60.4,0.732,14.878,0.001,15.281,0.002,0.070864,0.013431,0.002022,0.106071,0.014309,0.00117,2.716,2.705,2.767,2.762,-18.038,-17.635,9.323,,,,,,Sc,,,,,5.4,1.1,,,1.094,0.065,0.814,0.041,121.25,,,15.21,0.5,,,,,,,,,,,,,,,,2772.0,5.5,2771.2,40.7,2772.0,3.8,0.143,1.331,90.0,0.83,,1.075,13.721,,,22.927,,,,,2888.0,2869.4,2719.6,2453.1,33.005,,-19.284,"<a href=""/data/SPITZER/S4G/galaxies/PGC068030.html"">Data Access</a>",0.8479713354563545,-0.4585613088088822,-0.2658310371417373,132113310,1840
PGC068061,331.729949,-31.053054,49.0,82.5,0.694,56.5,79.8,0.662,44.4,83.3,0.649,54.2,77.4,0.65,13.23,0.001,13.589,0.001,0.033065,0.011309,0.002031,0.060754,0.011033,0.00169,2.903,2.849,3.018,2.963,-19.395,-19.037,9.834,33.5,,33.5,33.5,33.5,S0-a,,,M,,0.1,1.0,,,1.035,0.205,0.578,0.066,88.0,23.13,1.191,14.5,0.354,14.03,0.093,,,,,102.78,7.42,,,,,15.242,0.311,12.19,2590.0,24.7,2594.5,14.8,2593.3,9.1,0.08,0.216,90.0,0.83,,1.019,14.165,,,23.082,102.78,,14.416,0.251,2628.9,2631.7,2467.5,2320.0,32.77,,-18.605,"<a href=""/data/SPITZER/S4G/galaxies/PGC068061.html"">Data Access</a>",0.7545083593382885,-0.4057523070789607,-0.5158315626139457,133010101,1841
PGC068771,336.048,-3.48348,57.5,67.1,0.072,70.5,63.9,0.079,52.0,-87.7,0.145,67.4,39.1,0.177,14.021,0.003,14.581,0.011,0.079009,0.013422,0.001743,0.22613,0.013825,0.00204,3.052,2.991,3.079,3.046,-18.985,-18.425,9.818,,,,,,Scd,B,,,,6.6,0.8,6.0,0.5,1.223,0.035,0.109,0.025,,,,15.323,1.055,13.174,0.379,,,,,34.86,1.65,,,,,15.319,0.142,,2832.8,5.7,2835.6,9.6,2833.5,3.6,0.285,0.196,39.5,0.02,1.266,1.245,14.833,,,24.961,54.81,2.67,15.298,0.465,3007.9,2967.2,2833.5,2488.0,33.068,,-18.234,"<a href=""/data/SPITZER/S4G/galaxies/PGC068771.html"">Data Access</a>",0.9121973508501536,-0.4052210813851482,-0.0607607463994054,132120211,1842
PGC069114,338.194541,-14.096842,54.5,-45.8,0.722,68.2,-43.9,0.722,35.4,-48.8,0.622,55.8,-45.5,0.7,15.559,0.024,16.081,0.008,0.077399,0.014858,0.001944,0.172159,0.013825,0.002107,3.576,3.427,3.576,3.463,-17.133,-16.611,9.05,,,,,,SBcd,B,,,,6.9,0.7,6.0,0.5,1.171,0.05,0.562,0.027,131.5,,,15.75,0.5,,,,,,,72.37,4.47,,,,,15.98,0.092,,2510.5,7.5,2413.0,60.0,2509.0,10.0,0.302,0.998,76.95,0.07,1.28,1.177,14.441,,,24.234,74.29,4.59,15.906,1.465,2634.6,2604.9,2453.6,2177.2,32.77,,-18.328,"<a href=""/data/SPITZER/S4G/galaxies/PGC069114.html"">Data Access</a>",0.9004905643578641,-0.3602700551992707,-0.2435615544973585,132331011,1843
PGC069224,338.726047,-4.70189,54.0,-83.7,0.551,68.7,-81.6,0.483,47.6,-81.5,0.571,63.3,-84.7,0.572,15.234,0.005,15.751,0.001,0.081973,0.011557,0.001533,0.094752,0.011985,0.001505,3.002,3.022,2.913,2.897,-15.23,-14.713,8.285,,,,,,IB,B,,,,9.8,1.2,9.0,0.5,1.011,0.065,0.287,0.028,93.5,,,15.84,0.5,14.1,0.087,,,,,39.83,1.54,,,,,14.9,0.191,,890.4,5.7,825.0,49.0,889.5,6.6,0.181,0.533,70.45,0.05,1.899,1.016,15.126,,,24.044,42.26,1.65,14.85,-0.276,1059.4,1016.4,879.4,541.8,30.601,,-15.475,"<a href=""/data/SPITZER/S4G/galaxies/PGC069224.html"">Data Access</a>",0.9287202760891575,-0.3616066107285678,-0.0819713843867289,132320302,1844
PGC069293,339.1458,-2.90674,78.3,-16.3,0.115,101.5,-16.3,0.157,68.1,-18.4,0.148,85.7,-10.8,0.12,13.194,0.004,13.732,0.001,0.104991,0.016723,0.002297,0.349337,0.018872,0.003705,2.759,2.748,2.75,2.691,-18.605,-18.067,9.65,22.9,,22.9,22.9,22.9,Sm,,,,,8.9,0.5,8.0,0.5,1.377,0.076,0.083,0.063,25.0,23.799,0.305,13.381,0.183,,,-0.1,0.49,-0.075,0.48,45.76,1.4,,,,,14.694,0.074,,1692.5,2.7,1692.2,9.9,1692.5,1.8,0.221,0.154,38.37,0.02,1.67,1.394,13.004,-0.157,0.41,23.834,73.72,2.65,14.672,1.669,1870.4,1824.6,1690.6,1342.4,31.968,,-18.964,"<a href=""/data/SPITZER/S4G/galaxies/PGC069293.html"">Data Access</a>",0.9332870230566779,-0.3555331003780526,-0.0507104242693103,132320022,1845
PGC069339,339.337551,-8.46084,34.3,-1.2,0.062,42.2,-16.6,0.066,30.6,-75.2,0.042,37.1,10.2,0.103,15.287,0.125,15.7,0.003,0.09476,0.011713,0.002915,0.139724,0.011752,0.002331,2.24,2.23,2.274,2.222,-17.68,-17.267,9.188,,,,,,IB,B,,,,9.9,0.5,9.0,0.4,1.007,0.056,0.063,0.036,10.0,,,15.42,0.5,,,,,,,28.11,1.48,,,,,16.137,0.172,,2813.8,4.0,2816.4,63.7,2813.9,2.9,0.223,0.118,33.58,0.02,1.853,1.025,15.078,,,24.064,50.83,2.91,16.116,1.038,2966.7,2927.8,2784.3,2470.5,33.036,,-17.958,"<a href=""/data/SPITZER/S4G/galaxies/PGC069339.html"">Data Access</a>",0.92549221482669,-0.3490213733511359,-0.1471334130620062,132323310,1846
PGC069404,339.737968,-5.853242,98.5,36.3,0.105,103.6,-29.2,0.077,94.0,-4.1,0.27,0.0,0.0,0.0,12.115,0.001,12.886,0.001,0.093176,0.012651,0.007816,0.212861,0.012437,0.005136,2.074,1.992,1.828,1.635,-20.941,-20.17,10.757,,,,,,SABd,B,,,,8.0,0.5,6.0,0.5,1.437,0.027,0.493,0.024,86.39,,,13.94,0.677,11.435,0.084,,,,,107.46,3.06,,,,,14.742,0.102,,2916.2,3.7,2932.1,14.1,2917.2,3.8,0.168,0.897,90.0,0.83,1.421,1.433,12.867,,,23.868,107.46,,13.916,1.049,3082.2,3039.2,2900.0,2569.8,33.129,,-20.261,"<a href=""/data/SPITZER/S4G/galaxies/PGC069404.html"">Data Access</a>",0.9332276306397699,-0.3445085153609504,-0.10198074452697,132320220,1847
PGC069415,339.786301,-4.759874,33.9,68.4,0.523,59.0,89.2,0.427,21.0,61.1,0.405,45.6,88.6,0.658,16.043,0.007,16.939,0.01,0.1148,0.012974,0.001996,0.104445,0.012472,0.002044,4.271,3.724,3.57,3.406,-14.353,-13.457,8.214,12.0,,12.0,12.0,12.0,I,,,,,9.9,0.5,,,1.187,0.064,0.507,0.031,95.0,24.671,0.345,14.97,0.06,14.035,0.084,-0.15,0.54,-0.22,0.46,23.97,0.78,,,,,15.39,0.099,,829.7,3.6,,,829.7,3.6,0.227,0.937,90.0,0.83,,1.188,13.805,-0.276,0.365,23.606,23.97,,14.564,0.759,999.6,955.2,817.8,480.9,30.403,,-16.598,"<a href=""/data/SPITZER/S4G/galaxies/PGC069415.html"">Data Access</a>",0.935174063750993,-0.3443309435444162,-0.0829799482119969,132320301,1848
PGC069448,340.06301,-2.424063,71.0,86.5,0.353,76.3,85.5,0.285,63.1,-88.4,0.324,72.2,88.3,0.301,12.87,0.003,13.329,0.002,0.080988,0.011378,0.001575,0.103529,0.011877,0.002119,2.53,2.609,2.489,2.548,-20.134,-19.675,10.203,39.883,5.765,31.8,45.3,42.2,Sbc,B,,,,4.0,0.7,3.0,0.5,1.287,0.028,0.195,0.024,84.68,,,13.975,0.448,12.009,0.139,,,,,93.91,3.68,,,,,15.559,0.092,,2968.2,5.5,2995.0,32.5,2969.0,5.0,0.226,0.313,52.22,0.03,0.696,1.3,13.416,,,23.797,118.81,4.73,15.532,2.115,3149.3,3101.5,2968.2,2617.5,33.188,,-19.772,"<a href=""/data/SPITZER/S4G/galaxies/PGC069448.html"">Data Access</a>",0.9392269677448616,-0.3406813966518178,-0.0422952602091482,132010010,1849
PGC069691,341.601611,-14.180249,67.4,-69.6,0.786,84.1,-68.1,0.798,63.7,-67.2,0.83,74.2,-70.9,0.823,15.021,0.002,15.531,0.005,0.090002,0.013307,0.001651,0.149719,0.0132,0.001674,3.045,3.002,2.782,2.809,-17.744,-17.235,9.284,35.733,0.115,35.6,35.8,35.8,Scd,,,,,7.1,0.8,,,1.257,0.029,0.77,0.028,111.8,,,15.22,0.388,13.85,0.077,,,,,86.35,3.54,,,,,15.188,0.103,,2596.6,5.4,2558.0,60.0,2596.3,4.5,0.192,1.36,90.0,0.83,,1.244,13.658,,,23.732,86.35,,14.362,0.703,2722.1,2687.9,2535.5,2261.3,32.839,,-19.181,"<a href=""/data/SPITZER/S4G/galaxies/PGC069691.html"">Data Access</a>",0.9199722260432227,-0.3060052979397999,-0.2449731841280831,132333210,1850
PGC070657,347.9025,-15.4763,50.9,-3.2,0.833,57.1,-3.7,0.802,43.9,-2.8,0.849,47.5,-2.8,0.834,16.23,0.003,16.919,0.003,0.088739,0.013714,0.001937,0.175036,0.013694,0.001839,2.291,2.289,2.309,2.223,-16.273,-15.584,8.829,31.667,0.231,31.4,31.8,31.8,Scd,,,,,7.1,0.7,,,1.158,0.037,0.781,0.032,174.67,,,15.8,0.5,,,,,,,60.59,3.16,,,,,15.9,0.234,,2102.0,7.9,,,2102.0,7.9,0.15,1.377,90.0,0.83,,1.141,14.266,,,23.798,60.59,,15.074,0.808,2220.9,2180.6,2025.9,1766.8,32.341,,-18.076,"<a href=""/data/SPITZER/S4G/galaxies/PGC070657.html"">Data Access</a>",0.9423385221901315,-0.2019768679149969,-0.2668397542042171,132311121,1851
NGC4117,181.9422,43.126381,67.0,24.8,0.542,81.7,27.6,0.469,58.9,23.3,0.56,71.7,24.6,0.543,12.714,0.001,13.176,0.001,0.028397,0.006182,0.002085,0.100783,0.009858,0.001348,4.042,3.934,4.246,3.995,-18.812,-18.35,9.677,20.2,4.101,17.3,23.1,20.2,S0,,,,,-2.1,0.5,,,1.2,0.039,0.404,0.027,20.3,21.168,0.389,14.043,0.273,12.357,0.218,,,,,119.26,7.91,89.09,5.03,,,15.453,0.204,,934.0,8.5,947.7,4.2,945.0,4.7,0.058,0.0,90.0,0.83,,1.19,13.97,,,23.722,119.26,,14.627,0.657,978.2,986.6,1154.2,1174.9,31.181,,-17.21,"<a href=""/data/SPITZER/S4G/galaxies/NGC4117.html"">Data Access</a>",-0.7294283167431908,-0.0247354789659811,0.6836098937358344,212200030,1037
NGC4120,182.129027,69.545289,56.6,-13.1,0.634,61.3,-13.8,0.579,54.3,-12.7,0.659,57.4,-13.9,0.592,13.764,0.002,14.182,0.001,0.014272,0.011421,0.001436,0.054706,0.012335,0.001691,2.772,2.79,2.811,2.817,-18.986,-18.568,9.713,,,,,,Sc,,,,,5.5,0.6,,,1.196,0.035,0.618,0.026,167.25,,,14.315,0.541,,,,,,,92.39,4.21,,,,,14.856,0.088,13.611,2246.3,7.0,2251.0,50.4,2246.4,4.9,0.087,1.043,81.25,0.11,,1.18,13.175,,,22.868,93.48,4.26,14.747,1.573,2409.8,2371.4,2519.2,2334.0,32.839,,-19.665,"<a href=""/data/SPITZER/S4G/galaxies/NGC4120.html"">Data Access</a>",-0.3492256501732536,-0.0129826880128712,0.9369487152843685,211010033,1038
NGC4123,182.046302,2.878353,127.3,-53.3,0.216,157.2,-29.6,0.202,117.6,-56.8,0.288,146.1,-56.8,0.252,11.299,0.001,11.733,0.001,0.047452,0.017834,0.003977,0.103067,0.01703,0.003345,3.877,3.972,4.468,4.489,-20.407,-19.973,10.294,21.933,3.583,14.9,25.3,22.9,Sc,B,R,,,5.0,0.7,4.4,0.7,1.502,0.033,0.137,0.026,123.68,23.591,0.342,11.934,0.139,11.248,0.828,-0.01,0.61,-0.04,0.68,89.68,2.17,,,,,13.45,0.081,11.196,1328.0,2.8,1327.0,1.1,1327.2,0.8,0.087,0.235,44.26,0.02,0.955,1.504,11.605,-0.049,0.556,22.92,128.5,3.26,13.429,1.824,1158.7,1232.0,1363.1,1674.3,31.517,30.86,-19.912,"<a href=""/data/SPITZER/S4G/galaxies/NGC4123.html"">Data Access</a>",-0.9981015026470208,-0.0356620672038282,0.0502156088931403,212000222,1039
NGC4127,182.109802,76.804173,85.2,-42.3,0.492,101.7,-36.5,0.48,78.2,-45.1,0.5,91.8,-44.0,0.5,12.45,0.001,12.894,0.001,0.013932,0.012476,0.002703,0.016295,0.013322,0.001929,3.594,3.45,3.534,3.402,-20.11,-19.666,10.182,32.506,5.525,20.7,41.7,30.9,Sc,,,,,5.1,0.7,,,1.18,0.04,0.268,0.023,132.79,,,13.577,0.413,11.832,0.064,,,,,111.31,3.49,,,,,14.497,0.171,13.091,1813.7,3.8,1816.0,7.0,1814.2,2.5,0.4,0.459,59.25,0.03,,1.206,12.708,,,22.702,129.52,4.11,14.464,1.756,2008.4,1958.1,2094.7,1858.1,32.426,32.43,-19.718,"<a href=""/data/SPITZER/S4G/galaxies/NGC4127.html"">Data Access</a>",-0.2281252125870745,-0.0084040515422559,0.9735955316761562,211012013,1040
NGC4129,182.22169,-9.036706,96.6,-84.9,0.484,148.7,-84.9,0.484,76.1,-86.8,0.647,90.6,-85.0,0.632,11.851,0.008,12.38,0.001,0.233955,0.01456,0.005843,0.241533,0.013419,0.002027,3.232,3.336,2.586,2.611,-19.774,-19.244,10.112,21.129,1.582,19.5,23.4,20.6,SBab,B,,,,2.3,1.1,6.0,0.5,1.411,0.057,0.557,0.035,93.61,21.329,0.348,13.082,0.101,11.517,0.079,-0.13,0.6,-0.065,0.645,112.87,2.84,,,,,14.119,0.148,11.539,1175.9,4.3,1174.0,5.0,1175.1,2.4,0.31,0.66,90.0,0.83,0.755,1.418,12.101,-0.259,0.416,23.107,112.87,,13.293,1.192,958.7,1045.7,1152.4,1525.7,31.181,,-19.08,"<a href=""/data/SPITZER/S4G/galaxies/NGC4129.html"">Data Access</a>",-0.9868455623063096,-0.0382849213968898,-0.1570671861019279,120001010,1041
NGC4133,182.208559,74.904333,69.5,-47.7,0.338,81.6,-47.2,0.236,66.7,-50.0,0.378,81.7,-49.7,0.397,11.894,0.001,12.311,0.001,0.009546,0.011449,0.002195,3.47E-4,0.010461,0.00211,4.837,4.353,5.632,4.621,-19.113,-18.696,9.764,15.9,1.49,14.7,18.0,15.45,SABb,B,,,,3.0,0.5,,,1.219,0.034,0.183,0.03,133.27,,,13.134,0.39,,,,,,,129.63,7.2,,,,,17.211,0.272,11.388,1357.7,8.1,1312.0,7.0,1331.5,16.4,0.167,0.27,51.3,0.03,,1.227,12.686,,,22.662,166.1,9.38,17.184,4.498,1517.9,1470.7,1610.5,1386.9,31.863,,-19.177,"<a href=""/data/SPITZER/S4G/galaxies/NGC4133.html"">Data Access</a>",-0.2602380377955551,-0.0100362696494351,0.9654923288021728,211012131,1042
NGC4136,182.323869,29.927558,114.9,35.7,0.058,147.1,-61.4,0.169,100.6,10.1,0.041,124.5,48.4,0.139,11.719,0.003,12.215,0.004,0.024804,0.011232,0.001733,0.06082,0.016223,0.001429,2.874,2.847,2.794,2.763,-18.215,-17.719,9.463,9.7,,9.7,9.7,9.7,Sc,B,R,,,5.2,0.7,3.8,1.0,1.37,0.032,0.032,0.026,,,,12.054,0.464,,,,,,,37.99,0.86,,,,,13.608,0.121,12.506,609.9,4.8,412.0,50.0,608.1,13.8,0.078,0.055,22.02,0.02,0.924,1.376,11.917,,,22.583,101.3,2.97,13.586,1.669,572.2,604.3,768.5,892.2,30.296,,-18.379,"<a href=""/data/SPITZER/S4G/galaxies/NGC4136.html"">Data Access</a>",-0.8659441396538607,-0.0351412433841354,0.4989046401994593,212212331,1043
NGC4138,182.374155,43.685207,119.9,-28.4,0.442,153.3,-28.7,0.523,107.6,-30.8,0.411,169.7,-30.9,0.557,10.786,0.001,11.185,0.003,0.009915,0.021395,0.003561,-0.026382,0.065769,0.003905,4.635,4.321,5.232,4.74,-20.175,-19.776,10.176,15.567,1.626,13.8,17.0,15.9,S0-a,,R,,,-0.8,1.1,,,1.465,0.031,0.251,0.057,150.0,20.774,0.307,12.29,0.089,10.048,0.084,0.3,0.84,0.325,0.855,139.95,4.75,140.12,15.82,0.231,0.008,14.512,0.101,,877.4,5.6,866.6,28.6,877.0,4.2,0.061,0.0,65.22,0.04,,1.46,12.216,0.257,0.781,23.303,154.14,5.39,14.473,2.257,913.5,921.2,1088.6,1103.9,31.03,30.7,-18.814,"<a href=""/data/SPITZER/S4G/galaxies/NGC4138.html"">Data Access</a>",-0.722524763090707,-0.0299562768243862,0.6906957276540361,212200021,1044
NGC4141,182.4471,58.84915,36.4,70.8,0.327,44.7,60.7,0.355,30.5,66.9,0.296,37.3,66.6,0.337,14.487,0.006,14.992,0.014,0.011389,0.011809,0.001664,0.036314,0.011286,0.001531,2.703,2.676,2.496,2.521,-17.922,-17.417,9.353,,,,,,SBc,B,,,,6.0,0.6,,,1.071,0.038,0.194,0.028,70.59,,,14.784,0.365,14.122,0.061,,,,,70.08,3.23,,,,,15.31,0.092,,1901.7,6.7,1898.5,3.9,1899.3,2.6,0.085,0.343,51.33,0.03,,1.071,14.348,,,23.497,89.75,4.21,15.283,0.935,2012.9,1993.3,2153.1,2048.2,32.507,,-18.159,"<a href=""/data/SPITZER/S4G/galaxies/NGC4141.html"">Data Access</a>",-0.516821326544433,-0.0220868455805647,0.8558083241480844,211121311,1045
NGC4142,182.37572,53.104794,59.7,-4.1,0.449,72.4,-4.1,0.426,55.5,-5.0,0.461,68.3,-5.1,0.44,13.953,0.001,14.364,0.003,0.042293,0.012189,0.001745,0.084219,0.012048,0.001148,2.853,2.866,2.855,2.852,-18.126,-17.715,9.365,26.05,3.634,21.2,31.6,26.55,SBcd,B,,,,6.5,0.8,7.0,1.7,1.245,0.048,0.286,0.035,174.65,,,13.906,0.113,12.896,0.308,,,,,71.89,2.57,,,,,14.924,0.198,,1157.5,4.0,1141.0,20.0,1156.9,3.5,0.09,0.51,60.23,0.03,1.345,1.242,13.301,,,23.302,82.83,3.0,14.891,1.589,1241.9,1232.5,1396.6,1336.9,31.579,31.93,-18.278,"<a href=""/data/SPITZER/S4G/galaxies/NGC4142.html"">Data Access</a>",-0.5998373005829344,-0.0248859990626832,0.7997348934991086,211102122,1046
NGC4144,182.493675,46.457355,198.9,-78.2,0.737,263.1,-74.1,0.73,196.0,-77.4,0.766,215.6,-76.8,0.698,11.858,0.001,12.253,0.002,0.024372,0.009281,0.002658,0.068691,0.015516,0.002763,3.242,3.173,3.262,3.169,-17.251,-16.856,9.003,6.635,1.563,4.1,9.7,6.67,SABc,B,,,,5.9,0.5,5.0,0.5,1.719,0.025,0.717,0.029,102.62,22.17,0.445,12.047,0.141,11.498,0.612,-0.17,0.48,-0.125,0.51,69.06,1.75,,,,,13.465,0.086,12.552,266.6,3.7,277.4,20.9,266.9,2.9,0.065,1.22,86.19,0.24,1.031,1.697,10.761,-0.279,0.328,23.019,69.21,1.76,13.222,2.461,317.9,320.7,487.5,480.5,,29.353,-18.592,"<a href=""/data/SPITZER/S4G/galaxies/NGC4144.html"">Data Access</a>",-0.6882419162616961,-0.0299731700941222,0.7248618308166994,211100012,1047
NGC4145,182.50716,39.882832,182.2,-83.5,0.387,218.6,-82.7,0.457,177.0,-83.2,0.399,199.4,-84.4,0.407,11.174,0.001,11.588,0.001,0.060621,0.014011,0.003052,0.157528,0.022929,0.002976,2.934,2.94,2.907,2.911,-20.157,-19.743,10.178,18.458,3.787,10.9,22.3,20.55,Scd,B,,,,6.9,0.4,3.0,0.2,1.665,0.028,0.34,0.028,99.5,23.623,0.363,11.799,0.185,11.18,0.913,-0.1,0.51,-0.005,0.6,99.93,2.82,,,,,13.336,0.119,,1018.4,3.9,799.0,21.0,1011.1,28.0,0.124,0.61,64.3,0.04,0.984,1.663,11.062,-0.171,0.41,23.184,110.9,3.16,13.298,2.236,1027.7,1042.4,1209.8,1255.1,31.252,30.44,-20.191,"<a href=""/data/SPITZER/S4G/galaxies/NGC4145.html"">Data Access</a>",-0.766622777211723,-0.0335674579123452,0.6412197308485507,212200112,1048
NGC4369,186.150834,39.382945,81.2,74.8,0.021,94.2,-60.1,0.034,75.8,46.1,0.023,89.8,89.6,0.054,11.409,0.001,11.831,0.001,0.015092,0.005194,0.001114,0.017046,0.008168,0.001752,4.839,4.181,4.919,4.232,-20.264,-19.841,10.228,21.6,,21.6,21.6,21.6,Sa,,,,C,1.0,0.9,6.0,1.5,1.297,0.032,0.021,0.023,,20.425,0.305,12.355,0.112,11.223,0.091,-0.02,0.66,-0.155,0.5,42.82,1.96,,,,,15.908,0.113,11.171,1051.8,3.9,1045.8,1.6,1046.6,1.8,0.111,0.021,18.92,0.02,0.737,1.306,12.211,-0.04,0.621,22.554,132.08,7.24,15.887,3.676,1064.0,1082.1,1247.6,1288.3,31.322,,-19.111,"<a href=""/data/SPITZER/S4G/galaxies/NGC4369.html"">Data Access</a>",-0.7684729732882327,-0.0828157268348104,0.6345004686478688,212203133,1136
NGC4370,186.228891,7.444458,95.5,73.2,0.4,132.7,69.0,0.439,78.9,73.5,0.404,102.0,64.4,0.372,11.822,0.004,12.33,0.002,0.070525,0.01375,0.004492,0.131566,0.013575,0.00287,5.384,4.473,5.172,4.419,-20.683,-20.175,10.459,31.7,9.707,20.6,38.6,35.9,Sa,,,,,0.9,1.0,,,1.209,0.04,0.183,0.029,80.0,,,13.532,0.135,12.011,0.072,,,0.47,0.86,139.97,5.87,120.0,14.0,,,16.108,0.248,12.911,781.8,7.9,772.7,3.2,774.0,3.1,0.102,0.157,53.23,0.03,,1.211,13.262,,,23.123,174.74,7.49,16.08,2.817,630.9,701.9,838.3,1109.1,30.504,,-17.242,"<a href=""/data/SPITZER/S4G/galaxies/NGC4370.html"">Data Access</a>",-0.9857170681117849,-0.1075860758492435,0.1295650335409508,212033023,1137
NGC4371,186.231043,11.704254,186.0,87.7,0.489,206.3,87.5,0.471,176.7,88.7,0.518,199.8,88.1,0.478,10.32,0.001,10.827,0.001,0.060584,0.011756,0.001624,0.053342,0.011228,0.001644,5.48,4.455,5.452,4.482,-20.807,-20.3,10.508,16.8,1.559,14.6,20.6,16.65,S0-a,B,R,,,-1.3,0.6,,,1.589,0.024,0.331,0.028,96.48,,,11.822,0.055,9.978,0.1,0.73,0.98,0.565,0.99,158.93,7.49,137.11,2.56,,,,,,,,913.0,3.6,913.0,3.6,0.157,0.0,79.08,0.09,,1.592,11.651,0.653,0.895,23.441,161.86,7.68,,,789.8,854.7,997.7,1241.1,30.868,31.146,-19.217,"<a href=""/data/SPITZER/S4G/galaxies/NGC4371.html"">Data Access</a>",-0.9734228897340395,-0.106281224874526,0.2028599984743233,212022200,1138
